,OMA_group,taxa,root
0,1003384,11.444444444444445,9.0
1,1004670,3.9444444444444446,5.5
2,1007052,11.857142857142858,9.333333333333334
3,1008423,19.08108108108108,17.571428571428573
4,1008646,8.717948717948717,8.411764705882353
5,1008806,9.0,9.0
6,1009215,14.305555555555555,13.285714285714286
7,1009324,8.37037037037037,4.2
8,1011067,51.0,27.0
9,1011746,8.909090909090908,8.25
10,1011990,10.333333333333334,8.428571428571429
11,1013646,9.347826086956522,4.5
12,1016842,10.774193548387096,12.166666666666666
13,1020121,5.6,3.0
14,1021005,13.5,12.142857142857142
15,1022818,22.176470588235293,23.0
16,1034014,19.4,15.5
17,1036577,6.571428571428571,5.285714285714286
18,1037973,13.88888888888889,23.0
19,1039413,14.470588235294118,15.0
20,1039501,4.933333333333334,4.5
21,1039732,7.333333333333333,7.0
22,1040630,22.0,19.25
23,311903,11.404255319148936,9.3
24,317866,9.166666666666666,6.8
25,320122,25.666666666666668,22.0
26,575096,4.833333333333333,3.75
27,575142,24.413793103448278,17.8
28,579942,7.206896551724138,7.0
29,580517,2.0952380952380953,2.0
30,580687,12.666666666666666,13.0
31,583034,7.285714285714286,5.2
32,583153,32.5,34.0
33,584881,3.5714285714285716,3.0
34,585572,16.17948717948718,13.875
35,585578,11.11111111111111,9.4
36,605352,12.958333333333334,8.0
37,611297,9.125,3.0
38,619788,3.0,3.0
39,624867,23.705882352941178,19.0
40,625434,13.176470588235293,12.0
41,626932,7.794117647058823,5.666666666666667
42,648115,9.833333333333334,9.333333333333334
43,653351,18.363636363636363,19.5
44,653565,6.913043478260869,6.0
45,653867,6.833333333333333,6.5
46,670150,7.666666666666667,8.0
47,674214,35.61904761904762,57.6
48,676127,10.0,9.0
49,689994,9.666666666666666,8.0
50,690235,13.066666666666666,12.0
51,707164,4.3125,3.6666666666666665
52,716269,21.625,13.0
53,716358,10.5,5.0
54,730961,2.3636363636363638,2.0
55,731090,9.10344827586207,6.333333333333333
56,731322,8.75,8.5
57,736928,5.0,5.0
58,739165,7.666666666666667,5.25
59,739664,38.92307692307692,23.0
60,743841,6.148148148148148,7.75
61,747124,11.25,4.333333333333333
62,751685,52.0,52.0
63,752182,2.2857142857142856,1.25
64,759160,10.291666666666666,8.333333333333334
65,760754,10.411764705882353,9.666666666666666
66,763741,39.5,39.0
67,764292,16.137931034482758,18.0
