,OMA_group,taxa,root
0,1000134,17.545454545454547,16.0
1,1000188,29.153846153846153,28.5
2,1000194,6.528301886792453,5.962962962962963
3,1000293,1.6111111111111112,1.5
4,1000739,9.0,9.0
5,1001160,7.95,5.0
6,1001192,5.857142857142857,3.0
7,1001229,18.857142857142858,14.0
8,1001630,6.0,5.0
9,1001689,49.42857142857143,16.0
10,1002577,46.166666666666664,66.0
11,1003017,13.571428571428571,5.5
12,1003384,11.444444444444445,9.0
13,1003491,9.282051282051283,7.0
14,1003806,13.857142857142858,6.666666666666667
15,1003875,8.447058823529412,7.5
16,1004360,26.379310344827587,12.8
17,1004575,15.066666666666666,14.5
18,1004593,9.25,9.0
19,1004621,10.571428571428571,10.666666666666666
20,1004648,13.166666666666666,14.0
21,1004670,3.9444444444444446,5.5
22,1005069,11.11111111111111,13.5
23,1005073,1.7,1.6666666666666667
24,1005265,16.583333333333332,10.666666666666666
25,1006237,16.0,12.0
26,1006238,21.166666666666668,25.0
27,1006242,1.0,0.0
28,1006416,36.5,31.0
29,1006570,5.0,1.0
30,1006696,90.0,30.666666666666668
31,1006697,32.31578947368421,24.76923076923077
32,1007052,11.857142857142858,9.333333333333334
33,1007256,21.285714285714285,23.0
34,1007308,21.61111111111111,12.2
35,1007312,7.363636363636363,12.0
36,1007341,9.964285714285714,8.333333333333334
37,1007602,42.333333333333336,49.0
38,1007753,29.941176470588236,33.333333333333336
39,1008007,13.48,11.75
40,1008057,3.0357142857142856,2.25
41,1008423,19.08108108108108,17.571428571428573
42,1008631,13.5,14.0
43,1008635,15.727272727272727,14.5
44,1008646,8.717948717948717,8.411764705882353
45,1008806,9.0,9.0
46,1008984,58.925925925925924,46.6
47,1009068,4.1875,5.5
48,1009206,4.75,5.0
49,1009215,14.305555555555555,13.285714285714286
50,1009324,8.37037037037037,4.2
51,1009447,28.22222222222222,31.666666666666668
52,1009757,27.864406779661017,22.692307692307693
53,1010048,21.0,1.0
54,1010188,7.083333333333333,4.0
55,1010297,13.0,9.0
56,1010441,11.06,8.0
57,1010766,7.666666666666667,6.0
58,1011037,24.571428571428573,21.0
59,1011067,51.0,27.0
60,1011253,3.5416666666666665,3.5
61,1011551,14.875,11.666666666666666
62,1011746,8.909090909090908,8.25
63,1011982,8.842105263157896,5.666666666666667
64,1011990,10.333333333333334,8.428571428571429
65,1011994,16.428571428571427,5.428571428571429
66,1012111,2.0,2.0
67,1012300,3.2857142857142856,1.0
68,1012400,18.416666666666668,22.0
69,1012496,20.791666666666668,17.333333333333332
70,1012611,21.0,21.0
71,1012757,7.333333333333333,2.75
72,1012759,49.6,32.0
73,1012765,30.0,30.0
74,1012791,10.133333333333333,9.0
75,1013202,13.41304347826087,13.5
76,1013232,26.833333333333332,31.0
77,1013646,9.347826086956522,4.5
78,1013671,7.166666666666667,8.0
79,1013765,1.0,1.0
80,1013767,6.666666666666667,3.0
81,1014410,12.840909090909092,9.444444444444445
82,1014620,23.85,24.0
83,1014621,6.217391304347826,6.5
84,1014686,13.076923076923077,10.0
85,1014760,2.875,1.0
86,1015013,9.571428571428571,10.0
87,1015131,14.876923076923077,8.0
88,1015336,10.08695652173913,9.0
89,1015847,16.555555555555557,1.0
90,1015970,55.833333333333336,62.0
91,1015998,6.333333333333333,7.0
92,1016193,16.45,8.0
93,1016332,21.12,25.0
94,1016374,16.58,14.222222222222221
95,1016492,11.9375,8.0
96,1016842,10.774193548387096,12.166666666666666
97,1016849,17.41176470588235,8.25
98,1016867,11.8,10.0
99,1017127,40.13636363636363,33.333333333333336
100,1017166,30.61111111111111,35.0
101,1017396,38.90909090909091,31.0
102,1017399,16.142857142857142,11.666666666666666
103,1017400,14.571428571428571,6.0
104,1017539,10.285714285714286,15.0
105,1017546,1.0,1.0
106,1017582,38.3,43.0
107,1017770,6.380952380952381,5.75
108,1017889,21.90909090909091,22.5
109,1017932,21.354430379746834,9.947368421052632
110,1018851,17.72222222222222,16.5
111,1018890,10.090909090909092,9.5
112,1019299,14.0,14.0
113,1019300,25.545454545454547,11.5
114,1019301,1.0,1.0
115,1019315,13.071428571428571,12.4
116,1019435,6.555555555555555,8.0
117,1019979,65.16666666666667,53.0
118,1020121,5.6,3.0
119,1020234,11.67741935483871,8.571428571428571
120,1020648,18.833333333333332,8.0
121,1020853,23.083333333333332,25.5
122,1020951,5.818181818181818,5.5
123,1021005,13.5,12.142857142857142
124,1021211,2.5,2.0
125,1021276,37.89473684210526,18.0
126,1021327,12.461538461538462,11.6
127,1021756,18.0,0.0
128,1021784,16.047619047619047,15.75
129,1021992,27.0,0.0
130,1022426,19.0,19.0
131,1022538,10.212121212121213,7.6
132,1022752,5.545454545454546,4.0
133,1022818,22.176470588235293,23.0
134,1022858,41.0,1.0
135,1023022,10.375,10.0
136,1023024,25.5,0.0
137,1023269,10.5,9.0
138,1023581,45.0,45.0
139,1023826,7.0,0.0
140,1023856,13.097560975609756,10.375
141,1023944,8.717391304347826,7.375
142,1024042,15.058823529411764,9.75
143,1024136,14.58,9.615384615384615
144,1024193,10.114285714285714,9.333333333333334
145,1024206,21.857142857142858,14.666666666666666
146,1024549,19.181818181818183,48.0
147,1024726,21.17142857142857,7.857142857142857
148,1024771,9.6,5.428571428571429
149,1024996,28.11764705882353,31.0
150,1026000,19.375,8.0
151,1026122,40.096774193548384,39.6
152,1026289,9.2,5.25
153,1026417,31.375,2.0
154,1026604,18.5,18.5
155,1026669,19.21212121212121,9.875
156,1026863,10.0,10.0
157,1026864,32.15151515151515,35.833333333333336
158,1027313,14.555555555555555,14.666666666666666
159,1027596,18.0,18.0
160,1028020,2.289855072463768,2.2
